missingMass,weight,SignalChannel
2.3685482,0.042181980115532244,1.0
0.24672015,0.04267160409448754,1.0
0.9070812,0.017936849871906812,2.0
0.3762337,0.041884708414023676,2.0
2.072632,0.04295138922531913,1.0
1.9148772,0.03763110009684958,2.0
1.6132654,0.043038822078704006,1.0
0.6880395,0.04245302196102535,1.0
2.3124263,0.043038822078704006,1.0
1.6946237,0.043038822078704006,1.0
1.6270653,0.043016963865357784,2.0
2.0058815,0.04309565343340417,1.0
1.3673784,0.04309565343340417,1.0
2.5736828,0.04295138922531913,1.0
0.24157539,0.041884708414023676,2.0
1.4308156,0.042973247438665346,1.0
2.1360424,0.0426278876677951,2.0
0.2036048,0.042181980115532244,1.0
2.5601487,0.04223443982756317,2.0
2.2996936,0.04288581458528048,2.0
2.9239042,0.04295138922531913,1.0
-0.8142649,0.041884708414023676,2.0
2.7055197,0.04295138922531913,1.0
1.6045828,0.04267160409448754,1.0
1.874245,0.041884708414023676,2.0
1.5701952,0.0426278876677951,2.0
2.2786121,0.04199837112342401,2.0
1.8768197,0.042964504153326866,1.0
0.03662171,0.04199837112342401,2.0
1.9972956,0.04254482645707947,1.0
2.4015508,0.042571056313094935,2.0
1.1716433,0.042348102536963514,1.0
-0.10392745,0.04245302196102535,1.0
2.1700304,0.042181980115532244,1.0
0.82798177,0.04090983209878233,1.0
-0.36507398,0.04199837112342401,2.0
1.7869889,0.0416267814965383,2.0
2.4558015,0.043038822078704006,1.0
-0.023441771,0.041972141267408544,2.0
2.7392442,0.04295138922531913,1.0
2.8795242,0.04309565343340417,1.0
1.6655596,0.042348102536963514,1.0
2.0573351,0.04351533112965157,2.0
1.6459885,0.04267160409448754,1.0
2.087575,0.04090983209878233,1.0
1.9315131,0.04291641608396518,2.0
0.6204517,0.04309565343340417,1.0
2.425101,0.042348102536963514,1.0
1.3805745,0.04351533112965157,2.0
2.4633439,0.042964504153326866,1.0
1.0399085,0.0434584997749514,1.0
2.5858016,0.0416267814965383,2.0
2.1922038,0.029762143292210958,2.0
