missingMass,weight,SignalChannel
1.8741789,0.03984104847202572,2.0
1.6428963,0.041061345486483464,2.0
2.3824573,0.04083460110879706,1.0
1.8402185,0.04051715898003609,1.0
2.0488148,0.04074802598277134,1.0
2.7695282,0.04051715898003609,1.0
1.5005875,0.03984104847202572,2.0
2.5303767,0.040240943101763564,1.0
2.7630372,0.04108608123677653,2.0
0.9026029,0.04105722286143462,2.0
1.0831026,0.03984104847202572,2.0
0.8732731,0.0406408377315014,1.0
2.3221118,0.0406408377315014,1.0
2.227735,0.04122625048843721,1.0
0.54492116,0.04050479110488956,1.0
2.858196,0.03960605884424163,2.0
2.6646674,0.03960605884424163,2.0
0.7413575,0.03960605884424163,2.0
2.4513118,0.03960605884424163,2.0
2.6910057,0.0406408377315014,1.0
2.5834897,0.040240943101763564,1.0
0.4379374,0.04095003461016468,1.0
1.1856468,0.04064908298159909,1.0
1.9062024,0.04098301561055543,1.0
2.3666503,0.040240943101763564,1.0
1.9573953,0.04098301561055543,1.0
0.34750664,0.039255635715089915,2.0
1.322687,0.039581323093948566,2.0
0.74158233,0.02867285721470808,2.0
2.3640072,0.040240943101763564,1.0
2.5408907,0.03984104847202572,2.0
1.6517648,0.040240943101763564,1.0
0.20354705,0.040034811849321374,1.0
1.9039221,0.040442951729156906,2.0
-0.33926362,0.04027392410215431,1.0
0.64050657,0.040587243605866435,1.0
2.5617003,0.04031515035264275,2.0
0.70369595,0.01691513057540579,2.0
2.3042016,0.03929273934052951,2.0
0.6455171,0.038208488952683604,2.0
1.626682,0.04050479110488956,1.0
2.2254007,0.04050479110488956,1.0
2.2384174,0.040867582109187804,2.0
0.2868993,0.03982868059687919,2.0
1.5091956,0.040587243605866435,1.0
1.1809347,0.040525404230133774,1.0
1.2993627,0.04085521423404128,1.0
2.1771019,0.03989464259766069,1.0
0.8771064,0.040442951729156906,2.0
0.6964794,0.040034811849321374,1.0
1.6342238,0.040240943101763564,1.0
0.3846488,0.040240943101763564,1.0
2.3485205,0.03881451483486364,1.0
0.84302217,0.03984104847202572,2.0
2.8674521,0.041205637363193,2.0
1.682951,0.04074802598277134,1.0
2.4516573,0.040430583854010375,1.0
2.6340826,0.041061345486483464,2.0
2.2689197,0.0410366097361904,2.0
0.8696905,0.04051715898003609,1.0
1.151673,0.04051715898003609,1.0
1.7900015,0.04051715898003609,1.0
1.5661513,0.04036462185322887,2.0
2.939978,0.04047181010449881,2.0
1.0602474,0.0406408377315014,1.0
1.4633613,0.039935868848149134,1.0
0.8334491,0.04048830060469419,1.0
2.0671167,0.040587243605866435,1.0
1.2886051,0.03960605884424163,2.0
2.5781713,0.03960605884424163,2.0
0.65518856,0.04201779449781521,2.0
1.4839991,0.04029041460234969,2.0
2.0389457,0.04076863910801556,1.0
1.6469879,0.041061345486483464,2.0
1.2357153,0.03984104847202572,2.0
2.4916153,0.04036462185322887,2.0
2.6719465,0.04064908298159909,1.0
0.046443075,0.041061345486483464,2.0
0.51392925,0.040224452601568185,1.0
1.8933862,0.040442951729156906,2.0
0.2934135,0.040430583854010375,2.0
0.5768035,0.040034811849321374,1.0
1.3508288,0.04031515035264275,2.0
1.8874831,0.04050479110488956,1.0
1.5339481,0.03984929372212341,1.0
1.2147918,0.038398129704930416,2.0
0.920904,0.04014612272564016,2.0
0.48620325,0.013427389784084,2.0
1.582841,0.04062022460625719,2.0
1.33217,0.03989464259766069,1.0
2.7921531,0.04014612272564016,2.0
2.5548894,0.04027392410215431,1.0
2.4597542,0.04084284635889475,2.0
1.6543276,0.04014612272564016,2.0
0.16420873,0.03929273934052951,2.0
1.8209245,0.040034811849321374,1.0
1.0726483,0.040756271232869026,2.0
1.0213073,0.03982868059687919,2.0
1.0406816,0.040566630480622215,1.0
1.4766273,0.040867582109187804,2.0
0.46945497,0.04050479110488956,1.0
1.8667189,0.040442951729156906,2.0
0.29427382,0.03929273934052951,2.0
1.3510226,0.03982868059687919,2.0
1.9476613,0.0406408377315014,1.0
1.805645,0.04228988775103889,2.0
0.5943957,0.03929273934052951,2.0
2.8469076,0.04085521423404128,1.0
2.0169604,0.03949887059297169,2.0
1.8114519,0.014639441548444057,2.0
1.9723519,0.04093354410996931,2.0
0.47566465,0.04050479110488956,1.0
0.15049951,0.03548755642044675,2.0
1.3302006,0.03984929372212341,1.0
2.7532728,0.04048830060469419,1.0
2.1485574,0.041065468111532305,2.0
1.845905,0.03986990684736763,2.0
2.0538077,0.03984104847202572,2.0
2.466451,0.03881451483486364,1.0
2.018919,0.039255635715089915,2.0
1.035359,0.040240943101763564,1.0
2.9572299,0.03984104847202572,2.0
2.0204687,0.04098301561055543,1.0
0.41654453,0.04209612437374323,1.0
2.8531058,0.04036462185322887,2.0
1.4117305,0.04047181010449881,2.0
1.7573513,0.04031102772759391,2.0
2.2116141,0.04095003461016468,1.0
2.7999685,0.039581323093948566,2.0
1.1395364,0.0410366097361904,2.0
0.29396474,0.03977920909629307,1.0
2.1404374,0.04014612272564016,2.0
2.5782044,0.04027392410215431,1.0
0.13721442,0.03949887059297169,2.0
2.1362479,0.040566630480622215,1.0
-0.58819085,0.04014612272564016,2.0
0.89256257,0.03949887059297169,2.0
2.0247927,0.041061345486483464,2.0
2.7077906,0.041065468111532305,2.0
2.1506965,0.03986990684736763,2.0
2.2489047,0.04036462185322887,2.0
0.8811914,0.04097477036045775,2.0
1.7568188,0.040240943101763564,1.0
2.215032,0.040240943101763564,1.0
2.4248948,0.04095003461016468,1.0
1.7515812,0.03984104847202572,2.0
0.9583431,0.040389357603521935,2.0
2.575878,0.04050479110488956,1.0
0.16621538,0.040389357603521935,2.0
2.4675322,0.03982868059687919,2.0
0.09886587,0.0406408377315014,1.0
1.9437279,0.04014612272564016,2.0
2.5977135,0.04090056310957856,1.0
0.16849844,0.040096651225054035,2.0
2.5025454,0.040587243605866435,1.0
2.1919365,0.04048830060469419,1.0
2.3833947,0.04014612272564016,2.0
2.0095718,0.03949887059297169,2.0
2.8870707,0.040096651225054035,2.0
2.383926,0.03949887059297169,2.0
1.5225962,0.040525404230133774,1.0
2.9154446,0.04048830060469419,1.0
-0.04800705,0.03949887059297169,2.0
2.9653068,0.040096651225054035,2.0
2.4913454,0.04062022460625719,2.0
1.1816157,0.044408917026144565,1.0
1.2871206,0.040430583854010375,2.0
1.8783236,0.03561535779696091,2.0
1.7818218,0.04050479110488956,1.0
1.5341419,0.04031515035264275,2.0
1.9964517,0.0406408377315014,1.0
2.7947762,0.040224452601568185,1.0
0.7974098,0.03929273934052951,2.0
1.6880716,0.040867582109187804,2.0
0.9788051,0.040587243605866435,1.0
1.3418714,0.0406408377315014,1.0
2.287133,0.04031515035264275,2.0
0.4698306,0.04050479110488956,1.0
1.3472953,0.040034811849321374,1.0
2.0946953,0.03982868059687919,2.0
1.5703735,0.03929273934052951,2.0
0.61391944,0.040566630480622215,1.0
2.5421042,0.039935868848149134,1.0
0.29556614,0.040442951729156906,2.0
0.5767926,0.04031515035264275,2.0
1.2907779,0.04048830060469419,1.0
2.577311,0.040442951729156906,2.0
2.5504417,0.03857952520707954,1.0
1.7885888,0.03949887059297169,2.0
0.35886952,0.0401213869753471,1.0
2.7313266,0.03949887059297169,2.0
-0.14947374,0.04038523497847309,1.0
0.82010067,0.04085521423404128,1.0
1.3158984,0.04050479110488956,1.0
2.475151,0.040442951729156906,2.0
1.1943053,0.040756271232869026,2.0
2.9362588,0.04031515035264275,2.0
0.19222626,0.04031515035264275,2.0
1.4254146,0.040867582109187804,2.0
0.8768758,0.04031515035264275,2.0
